,index,Parent,Agency No.,Name,Contact,Operating Hours,Address,Zip Code,Unnamed: 7,Status,Latitude,Longitude,Filter_1,Filter_2,Requirements/Comments,Services Offered,Parent Agency No.,Input,Model_Output,day,hour,window
759,287,R1420,R1420FP,Williams Grove Baptist Church,919-829-1282,1st & 4th Sat 10:30 am - 12:30 pm,"735 Rock Quarry Rd, Raleigh, NC 27610",27610,WAKE,Confirmed,35.7697185,-78.6181508,Food Distribution,Food Pantries,,,R1420,1st & 4th Sat 10:30 am - 12:30 pm,"[
    {
        ""Day"": ""saturday"",
        ""Opening_Hour"": ""10:30 am"",
        ""Closing_Hour"": ""12:30 pm"",
        ""Week"": [
            ""1"",
            ""4""
        ]
    }
]",Saturday,10,10:00–11:59
762,288,R1422,R1422FP,With Love From Jesus Ministry,919-750-6131,Tues/Wed/Fri/Sat -- 9:30am - 12pm,"421 Chapanoke Rd, Raleigh, NC 27603",27603,WAKE,Confirmed,35.7343977,-78.6537962,Food Distribution,Food Pantries,,,R1422,Tues/Wed/Fri/Sat -- 9:30am - 12pm,"[
    {
        ""Day"": ""tuesday"",
        ""Opening_Hour"": ""09:30 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""wednesday"",
        ""Opening_Hour"": ""09:30 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""friday"",
        ""Opening_Hour"": ""09:30 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""saturday"",
        ""Opening_Hour"": ""09:30 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Tuesday,9,08:00–09:59
765,288,R1422,R1422FP,With Love From Jesus Ministry,919-750-6131,Tues/Wed/Fri/Sat -- 9:30am - 12pm,"421 Chapanoke Rd, Raleigh, NC 27603",27603,WAKE,Confirmed,35.7343977,-78.6537962,Food Distribution,Food Pantries,,,R1422,Tues/Wed/Fri/Sat -- 9:30am - 12pm,"[
    {
        ""Day"": ""tuesday"",
        ""Opening_Hour"": ""09:30 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""wednesday"",
        ""Opening_Hour"": ""09:30 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""friday"",
        ""Opening_Hour"": ""09:30 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""saturday"",
        ""Opening_Hour"": ""09:30 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Wednesday,9,08:00–09:59
768,288,R1422,R1422FP,With Love From Jesus Ministry,919-750-6131,Tues/Wed/Fri/Sat -- 9:30am - 12pm,"421 Chapanoke Rd, Raleigh, NC 27603",27603,WAKE,Confirmed,35.7343977,-78.6537962,Food Distribution,Food Pantries,,,R1422,Tues/Wed/Fri/Sat -- 9:30am - 12pm,"[
    {
        ""Day"": ""tuesday"",
        ""Opening_Hour"": ""09:30 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""wednesday"",
        ""Opening_Hour"": ""09:30 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""friday"",
        ""Opening_Hour"": ""09:30 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""saturday"",
        ""Opening_Hour"": ""09:30 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Friday,9,08:00–09:59
771,288,R1422,R1422FP,With Love From Jesus Ministry,919-750-6131,Tues/Wed/Fri/Sat -- 9:30am - 12pm,"421 Chapanoke Rd, Raleigh, NC 27603",27603,WAKE,Confirmed,35.7343977,-78.6537962,Food Distribution,Food Pantries,,,R1422,Tues/Wed/Fri/Sat -- 9:30am - 12pm,"[
    {
        ""Day"": ""tuesday"",
        ""Opening_Hour"": ""09:30 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""wednesday"",
        ""Opening_Hour"": ""09:30 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""friday"",
        ""Opening_Hour"": ""09:30 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""saturday"",
        ""Opening_Hour"": ""09:30 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Saturday,9,08:00–09:59
774,289,R1425,R1425FP,Word of God Fellowship,919-834-1141,Thurs 1pm - 2pm and as needed,"3000 Rock Quarry Rd, Raleigh, NC 27610",27610,WAKE,Confirmed,35.7452844,-78.59766479999999,Food Distribution,Food Pantries,Also open by appointment -- please call,,R1425,Thurs 1pm - 2pm and as needed,"[
    {
        ""Day"": ""thursday"",
        ""Opening_Hour"": ""01:00 pm"",
        ""Closing_Hour"": ""02:00 pm"",
        ""Week"": [
            ""1""
        ]
    }
]",Thursday,13,12:00–13:59
775,290,R1427,R1427FP,Zebulon United Methodist,772-360-8739,Tuesday & Thursday 9am to10:30 am ,"114 W Sycamore St, Zebulon, NC 27597",27597,WAKE,Confirmed,35.8227346,-78.3153852,Food Distribution,Food Pantries,,,R1427,Tuesday & Thursday 9am to10:30 am ,"[
    {
        ""Day"": ""tuesday"",
        ""Opening_Hour"": ""09:00 am"",
        ""Closing_Hour"": ""10:30 am"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""thursday"",
        ""Opening_Hour"": ""09:00 am"",
        ""Closing_Hour"": ""10:30 am"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Tuesday,9,08:00–09:59
777,290,R1427,R1427FP,Zebulon United Methodist,772-360-8739,Tuesday & Thursday 9am to10:30 am ,"114 W Sycamore St, Zebulon, NC 27597",27597,WAKE,Confirmed,35.8227346,-78.3153852,Food Distribution,Food Pantries,,,R1427,Tuesday & Thursday 9am to10:30 am ,"[
    {
        ""Day"": ""tuesday"",
        ""Opening_Hour"": ""09:00 am"",
        ""Closing_Hour"": ""10:30 am"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""thursday"",
        ""Opening_Hour"": ""09:00 am"",
        ""Closing_Hour"": ""10:30 am"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Thursday,9,08:00–09:59
779,291,R1503,R1503FP,Solid Rock Ministry International Inc.,919-772-5681,"1st & 3rd Wednesday, 4th Saturday 9am -11am","401 Creech Rd, Garner, NC 27529",27529,WAKE,Confirmed,35.7138183,-78.6039299,Food Distribution,Food Pantries,,,R1503,"1st & 3rd Wednesday, 4th Saturday 9am -11am","[
    {
        ""Day"": ""wednesday"",
        ""Opening_Hour"": ""09:00 am"",
        ""Closing_Hour"": ""11:00 am"",
        ""Week"": [
            ""1"",
            ""3""
        ]
    },
    {
        ""Day"": ""saturday"",
        ""Opening_Hour"": ""09:00 am"",
        ""Closing_Hour"": ""11:00 am"",
        ""Week"": [
            ""4""
        ]
    }
]",Wednesday,9,08:00–09:59
781,291,R1503,R1503FP,Solid Rock Ministry International Inc.,919-772-5681,"1st & 3rd Wednesday, 4th Saturday 9am -11am","401 Creech Rd, Garner, NC 27529",27529,WAKE,Confirmed,35.7138183,-78.6039299,Food Distribution,Food Pantries,,,R1503,"1st & 3rd Wednesday, 4th Saturday 9am -11am","[
    {
        ""Day"": ""wednesday"",
        ""Opening_Hour"": ""09:00 am"",
        ""Closing_Hour"": ""11:00 am"",
        ""Week"": [
            ""1"",
            ""3""
        ]
    },
    {
        ""Day"": ""saturday"",
        ""Opening_Hour"": ""09:00 am"",
        ""Closing_Hour"": ""11:00 am"",
        ""Week"": [
            ""4""
        ]
    }
]",Saturday,9,08:00–09:59
783,292,R1505,R1505FP,Christian Life Fellowship Food Pantry,919-877-5770,"1st & 3rd Saturdays, 9-11 am","3209 Gresham Lake Road, Suite 136Raleigh NC 27615",27615,WAKE,Confirmed,35.8854617,-78.5800764,Food Distribution,Food Pantries,,,R1505,"1st & 3rd Saturdays, 9-11 am","[
    {
        ""Day"": ""saturday"",
        ""Opening_Hour"": ""09:00 am"",
        ""Closing_Hour"": ""11:00 am"",
        ""Week"": [
            ""1"",
            ""3""
        ]
    }
]",Saturday,9,08:00–09:59
785,293,R1506,R1506FP,NC Harm Reduction,919-370-0671,Wednesday- Friday 11:00 am - 4:00 pm,"4024 Barrett Dr Ste 101, Raleigh, NC 27609",27609,,Confirmed,35.831034,-78.6297554,Food Distribution,Food Pantries,,,R1506,Wednesday- Friday 11:00 am - 4:00 pm,"[
    {
        ""Day"": ""wednesday"",
        ""Opening_Hour"": ""11:00 am"",
        ""Closing_Hour"": ""04:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""thursday"",
        ""Opening_Hour"": ""11:00 am"",
        ""Closing_Hour"": ""04:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""friday"",
        ""Opening_Hour"": ""11:00 am"",
        ""Closing_Hour"": ""04:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Wednesday,11,10:00–11:59
790,293,R1506,R1506FP,NC Harm Reduction,919-370-0671,Wednesday- Friday 11:00 am - 4:00 pm,"4024 Barrett Dr Ste 101, Raleigh, NC 27609",27609,,Confirmed,35.831034,-78.6297554,Food Distribution,Food Pantries,,,R1506,Wednesday- Friday 11:00 am - 4:00 pm,"[
    {
        ""Day"": ""wednesday"",
        ""Opening_Hour"": ""11:00 am"",
        ""Closing_Hour"": ""04:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""thursday"",
        ""Opening_Hour"": ""11:00 am"",
        ""Closing_Hour"": ""04:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""friday"",
        ""Opening_Hour"": ""11:00 am"",
        ""Closing_Hour"": ""04:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Thursday,11,10:00–11:59
795,293,R1506,R1506FP,NC Harm Reduction,919-370-0671,Wednesday- Friday 11:00 am - 4:00 pm,"4024 Barrett Dr Ste 101, Raleigh, NC 27609",27609,,Confirmed,35.831034,-78.6297554,Food Distribution,Food Pantries,,,R1506,Wednesday- Friday 11:00 am - 4:00 pm,"[
    {
        ""Day"": ""wednesday"",
        ""Opening_Hour"": ""11:00 am"",
        ""Closing_Hour"": ""04:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""thursday"",
        ""Opening_Hour"": ""11:00 am"",
        ""Closing_Hour"": ""04:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""friday"",
        ""Opening_Hour"": ""11:00 am"",
        ""Closing_Hour"": ""04:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Friday,11,10:00–11:59
800,295,R1509,R1509FP,Jewish Family Services,919-676-2200,Monday - Friday 9am - 3pm,"8210 Creedmoor Rd Ste 104, Raleigh, NC 27609",27609,,Confirmed,35.8990166,-78.6799176,Food Distribution,Food Pantries,,,R1509,Monday - Friday 9am - 3pm,"[
    {
        ""Day"": ""monday"",
        ""Opening_Hour"": ""09:00 am"",
        ""Closing_Hour"": ""03:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""tuesday"",
        ""Opening_Hour"": ""09:00 am"",
        ""Closing_Hour"": ""03:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""wednesday"",
        ""Opening_Hour"": ""09:00 am"",
        ""Closing_Hour"": ""03:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""thursday"",
        ""Opening_Hour"": ""09:00 am"",
        ""Closing_Hour"": ""03:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""friday"",
        ""Opening_Hour"": ""09:00 am"",
        ""Closing_Hour"": ""03:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Monday,9,08:00–09:59
806,295,R1509,R1509FP,Jewish Family Services,919-676-2200,Monday - Friday 9am - 3pm,"8210 Creedmoor Rd Ste 104, Raleigh, NC 27609",27609,,Confirmed,35.8990166,-78.6799176,Food Distribution,Food Pantries,,,R1509,Monday - Friday 9am - 3pm,"[
    {
        ""Day"": ""monday"",
        ""Opening_Hour"": ""09:00 am"",
        ""Closing_Hour"": ""03:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""tuesday"",
        ""Opening_Hour"": ""09:00 am"",
        ""Closing_Hour"": ""03:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""wednesday"",
        ""Opening_Hour"": ""09:00 am"",
        ""Closing_Hour"": ""03:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""thursday"",
        ""Opening_Hour"": ""09:00 am"",
        ""Closing_Hour"": ""03:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""friday"",
        ""Opening_Hour"": ""09:00 am"",
        ""Closing_Hour"": ""03:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Tuesday,9,08:00–09:59
812,295,R1509,R1509FP,Jewish Family Services,919-676-2200,Monday - Friday 9am - 3pm,"8210 Creedmoor Rd Ste 104, Raleigh, NC 27609",27609,,Confirmed,35.8990166,-78.6799176,Food Distribution,Food Pantries,,,R1509,Monday - Friday 9am - 3pm,"[
    {
        ""Day"": ""monday"",
        ""Opening_Hour"": ""09:00 am"",
        ""Closing_Hour"": ""03:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""tuesday"",
        ""Opening_Hour"": ""09:00 am"",
        ""Closing_Hour"": ""03:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""wednesday"",
        ""Opening_Hour"": ""09:00 am"",
        ""Closing_Hour"": ""03:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""thursday"",
        ""Opening_Hour"": ""09:00 am"",
        ""Closing_Hour"": ""03:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""friday"",
        ""Opening_Hour"": ""09:00 am"",
        ""Closing_Hour"": ""03:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Wednesday,9,08:00–09:59
818,295,R1509,R1509FP,Jewish Family Services,919-676-2200,Monday - Friday 9am - 3pm,"8210 Creedmoor Rd Ste 104, Raleigh, NC 27609",27609,,Confirmed,35.8990166,-78.6799176,Food Distribution,Food Pantries,,,R1509,Monday - Friday 9am - 3pm,"[
    {
        ""Day"": ""monday"",
        ""Opening_Hour"": ""09:00 am"",
        ""Closing_Hour"": ""03:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""tuesday"",
        ""Opening_Hour"": ""09:00 am"",
        ""Closing_Hour"": ""03:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""wednesday"",
        ""Opening_Hour"": ""09:00 am"",
        ""Closing_Hour"": ""03:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""thursday"",
        ""Opening_Hour"": ""09:00 am"",
        ""Closing_Hour"": ""03:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""friday"",
        ""Opening_Hour"": ""09:00 am"",
        ""Closing_Hour"": ""03:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Thursday,9,08:00–09:59
824,295,R1509,R1509FP,Jewish Family Services,919-676-2200,Monday - Friday 9am - 3pm,"8210 Creedmoor Rd Ste 104, Raleigh, NC 27609",27609,,Confirmed,35.8990166,-78.6799176,Food Distribution,Food Pantries,,,R1509,Monday - Friday 9am - 3pm,"[
    {
        ""Day"": ""monday"",
        ""Opening_Hour"": ""09:00 am"",
        ""Closing_Hour"": ""03:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""tuesday"",
        ""Opening_Hour"": ""09:00 am"",
        ""Closing_Hour"": ""03:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""wednesday"",
        ""Opening_Hour"": ""09:00 am"",
        ""Closing_Hour"": ""03:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""thursday"",
        ""Opening_Hour"": ""09:00 am"",
        ""Closing_Hour"": ""03:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""friday"",
        ""Opening_Hour"": ""09:00 am"",
        ""Closing_Hour"": ""03:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Friday,9,08:00–09:59
830,296,R1510,R1510FP,North Raleigh Ministries,919-844-6676,"MTTH10:30 am - 2:00pm, W 3:30pm - 7:00 pm","2809 E Millbrook Rd, Raleigh, NC 27609",27609,,Confirmed,35.8500655,-78.584154,Food Distribution,Food Pantries,"Eligible to people who live in zip codes: 27604, 27609, 27612, 27613, 27614,27615 and 27616 - show ID with address, Curbside Distribution, Call once in parking lot (intake over phone), Receive assitance once a month",,R1510,"MTTH10:30 am - 2:00pm, W 3:30pm - 7:00 pm","[
    {
        ""Day"": ""monday"",
        ""Opening_Hour"": ""10:30 am"",
        ""Closing_Hour"": ""02:00 pm"",
        ""Week"": [
            ""1""
        ]
    },
    {
        ""Day"": ""wednesday"",
        ""Opening_Hour"": ""03:30 pm"",
        ""Closing_Hour"": ""07:00 pm"",
        ""Week"": [
            ""1""
        ]
    }
]",Monday,10,10:00–11:59
834,296,R1510,R1510FP,North Raleigh Ministries,919-844-6676,"MTTH10:30 am - 2:00pm, W 3:30pm - 7:00 pm","2809 E Millbrook Rd, Raleigh, NC 27609",27609,,Confirmed,35.8500655,-78.584154,Food Distribution,Food Pantries,"Eligible to people who live in zip codes: 27604, 27609, 27612, 27613, 27614,27615 and 27616 - show ID with address, Curbside Distribution, Call once in parking lot (intake over phone), Receive assitance once a month",,R1510,"MTTH10:30 am - 2:00pm, W 3:30pm - 7:00 pm","[
    {
        ""Day"": ""monday"",
        ""Opening_Hour"": ""10:30 am"",
        ""Closing_Hour"": ""02:00 pm"",
        ""Week"": [
            ""1""
        ]
    },
    {
        ""Day"": ""wednesday"",
        ""Opening_Hour"": ""03:30 pm"",
        ""Closing_Hour"": ""07:00 pm"",
        ""Week"": [
            ""1""
        ]
    }
]",Wednesday,15,14:00–15:59
838,297,R1513,R1513SPC,Feed the Pack,919.515.1110,"Tue., Wed, 12 pm - 6 pm & Friday 12 pm - 4 pm",2200 Hillsborough St. Raleigh NC 27607,27607,WAKE,Confirmed,35.787288,-78.66471109999999,Young adult programs,University,Open to NCSU students staff and faculty,,R1513,"Tue., Wed, 12 pm - 6 pm & Friday 12 pm - 4 pm","[
    {
        ""Day"": ""tuesday"",
        ""Opening_Hour"": ""12:00 pm"",
        ""Closing_Hour"": ""06:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""wednesday"",
        ""Opening_Hour"": ""12:00 pm"",
        ""Closing_Hour"": ""06:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""friday"",
        ""Opening_Hour"": ""12:00 pm"",
        ""Closing_Hour"": ""04:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Tuesday,12,12:00–13:59
844,297,R1513,R1513SPC,Feed the Pack,919.515.1110,"Tue., Wed, 12 pm - 6 pm & Friday 12 pm - 4 pm",2200 Hillsborough St. Raleigh NC 27607,27607,WAKE,Confirmed,35.787288,-78.66471109999999,Young adult programs,University,Open to NCSU students staff and faculty,,R1513,"Tue., Wed, 12 pm - 6 pm & Friday 12 pm - 4 pm","[
    {
        ""Day"": ""tuesday"",
        ""Opening_Hour"": ""12:00 pm"",
        ""Closing_Hour"": ""06:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""wednesday"",
        ""Opening_Hour"": ""12:00 pm"",
        ""Closing_Hour"": ""06:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""friday"",
        ""Opening_Hour"": ""12:00 pm"",
        ""Closing_Hour"": ""04:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Wednesday,12,12:00–13:59
850,297,R1513,R1513SPC,Feed the Pack,919.515.1110,"Tue., Wed, 12 pm - 6 pm & Friday 12 pm - 4 pm",2200 Hillsborough St. Raleigh NC 27607,27607,WAKE,Confirmed,35.787288,-78.66471109999999,Young adult programs,University,Open to NCSU students staff and faculty,,R1513,"Tue., Wed, 12 pm - 6 pm & Friday 12 pm - 4 pm","[
    {
        ""Day"": ""tuesday"",
        ""Opening_Hour"": ""12:00 pm"",
        ""Closing_Hour"": ""06:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""wednesday"",
        ""Opening_Hour"": ""12:00 pm"",
        ""Closing_Hour"": ""06:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""friday"",
        ""Opening_Hour"": ""12:00 pm"",
        ""Closing_Hour"": ""04:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Friday,12,12:00–13:59
854,298,R1518,R1518FP,Kirk of Kildaire Presbyterian Church,919-467-4944,"Wednesday 10am -11am, 6:30pm -7:30pm ; 1st & 3rd Saturday 10am - 11am","200 High Meadow Dr, Cary, NC 27511",27511,WAKE,Confirmed,35.7622053,-78.7849859,Food Distribution,Food Pantries,,,R1518,"Wednesday 10am -11am, 6:30pm -7:30pm ; 1st & 3rd Saturday 10am - 11am","[
    {
        ""Day"": ""wednesday"",
        ""Opening_Hour"": ""10:00 am"",
        ""Closing_Hour"": ""11:00 am"",
        ""Week"": [
            ""1"",
            ""3""
        ]
    },
    {
        ""Day"": ""saturday"",
        ""Opening_Hour"": ""10:00 am"",
        ""Closing_Hour"": ""11:00 am"",
        ""Week"": [
            ""1"",
            ""3""
        ]
    }
]",Wednesday,10,10:00–11:59
855,298,R1518,R1518FP,Kirk of Kildaire Presbyterian Church,919-467-4944,"Wednesday 10am -11am, 6:30pm -7:30pm ; 1st & 3rd Saturday 10am - 11am","200 High Meadow Dr, Cary, NC 27511",27511,WAKE,Confirmed,35.7622053,-78.7849859,Food Distribution,Food Pantries,,,R1518,"Wednesday 10am -11am, 6:30pm -7:30pm ; 1st & 3rd Saturday 10am - 11am","[
    {
        ""Day"": ""wednesday"",
        ""Opening_Hour"": ""10:00 am"",
        ""Closing_Hour"": ""11:00 am"",
        ""Week"": [
            ""1"",
            ""3""
        ]
    },
    {
        ""Day"": ""saturday"",
        ""Opening_Hour"": ""10:00 am"",
        ""Closing_Hour"": ""11:00 am"",
        ""Week"": [
            ""1"",
            ""3""
        ]
    }
]",Saturday,10,10:00–11:59
856,299,R1538,R1538FP,Grace Christian Church,919-878-8388,"4th Sat  9am-12pm quarterly ( Jan, April, July & Oct)","7715 Louisburg Rd, Raleigh, NC 27616",27616,WAKE,Confirmed,35.8785907,-78.5366726,Food Distribution,Food Pantries,Quarterly distributions January April July and October ,,R1538,"4th Sat  9am-12pm quarterly ( Jan, April, July & Oct)","[
    {
        ""Day"": ""saturday"",
        ""Opening_Hour"": ""09:00 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Saturday,9,08:00–09:59
859,300,R1563,R1563FP,Iglesia Tabernaculo De Restauracion,201-699-2796,"3rd Friday 12:00 pm - 3:00 pm, & as needed","7604 Rock Quarry Rd., Raleigh, NC 27610",27610,WAKE,Confirmed,35.6908536,-78.52751920000001,Food Distribution,Food Pantries,Also available by appointment --please call,,R1563,"3rd Friday 12:00 pm - 3:00 pm, & as needed","[
    {
        ""Day"": ""friday"",
        ""Opening_Hour"": ""12:00 pm"",
        ""Closing_Hour"": ""03:00 pm"",
        ""Week"": [
            ""3""
        ]
    }
]",Friday,12,12:00–13:59
862,301,R1585,R1585FP,Springfield Baptist Church,919-772-8078,1st & 3rd Saturday 9am - 1pm,"4309 Auburn Knightdale Rd., Raleigh, NC 27610",27610,WAKE,Confirmed,35.6976532,-78.54177279999999,Food Distribution,Food Pantries,,,R1585,1st & 3rd Saturday 9am - 1pm,"[
    {
        ""Day"": ""saturday"",
        ""Opening_Hour"": ""09:00 am"",
        ""Closing_Hour"": ""01:00 pm"",
        ""Week"": [
            ""1"",
            ""3""
        ]
    }
]",Saturday,9,08:00–09:59
